
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
       1   0.0000       0.0000       0.0000       0.0000     
       2  0.10194E-003-0.39755E-003-0.33934      0.33934     
       3  0.10086E-001 0.98154E-002-0.66449      0.66464     
       4  0.20070E-001 0.55211E-004-0.96967      0.96988     
       5  0.40152E-001 0.20374E-001 -1.2449       1.2457     
       6  0.60234E-001 0.44312E-003 -1.4798       1.4811     
       7  0.90283E-001 0.30675E-001 -1.6647       1.6674     
       8  0.12033      0.97894E-003 -1.7897       1.7937     
       9  0.16096      0.42800E-001 -1.8458       1.8533     
      10  0.20159      0.84357E-003 -1.7897       1.8010     
      11  0.23162      0.30417E-001 -1.6647       1.6810     
      12  0.26166      0.87682E-004 -1.4798       1.5028     
      13  0.28172      0.19959E-001 -1.2449       1.2765     
      14  0.30177     -0.37035E-003-0.96970       1.0156     
      15  0.31171      0.94458E-002-0.66449      0.73403     
      16  0.32165     -0.64280E-003-0.33937      0.46758     
      17  0.32165       0.0000       0.0000      0.32165     
      18  0.32062      0.47387E-003-0.49167E-002 0.32066     
      19  0.31580      0.19857E-002-0.33921      0.46346     
      20  0.31098      0.12512E-001-0.66449      0.73377     
      21  0.29601      0.27947E-002-0.96969       1.0139     
      22  0.28104      0.23109E-001 -1.2449       1.2764     
      23  0.25604      0.31620E-002 -1.4798       1.5018     
      24  0.23103      0.33282E-001 -1.6648       1.6810     
      25  0.19600      0.30716E-002 -1.7894       1.8001     
      26  0.16096      0.41732E-001 -1.8452       1.8527     
      27  0.12592      0.29348E-002 -1.7894       1.7939     
      28  0.90884E-001 0.33021E-001 -1.6648       1.6676     
      29  0.65858E-001 0.28028E-002 -1.4799       1.4813     
      30  0.40832E-001 0.22690E-001 -1.2449       1.2457     
      31  0.25833E-001 0.23672E-002-0.96972      0.97007     
      32  0.10833E-001 0.12145E-001-0.66448      0.66468     
      33  0.59930E-002 0.17466E-002-0.33925      0.33931     
      34  0.11526E-002 0.43754E-003-0.49310E-002 0.50828E-002
      35  0.32172      0.37573E-003 0.98143E-004 0.32172     
      36  0.32172      0.18567E-002-0.33620      0.46534     
      37  0.31155      0.12511E-001-0.66180      0.73157     
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
      38  0.30137      0.28138E-002-0.96704       1.0129     
      39  0.28123      0.23091E-001 -1.2422       1.2738     
      40  0.26109      0.31732E-002 -1.4772       1.5001     
      41  0.23085      0.33317E-001 -1.6620       1.6783     
      42  0.20062      0.28240E-002 -1.7861       1.7974     
      43  0.16090      0.41210E-001 -1.8488       1.8563     
      44  0.12119      0.26872E-002 -1.7862       1.7903     
      45  0.90968E-001 0.33056E-001 -1.6620       1.6648     
      46  0.60747E-001 0.28142E-002 -1.4772       1.4784     
      47  0.40632E-001 0.22672E-001 -1.2422       1.2431     
      48  0.20517E-001 0.23884E-002-0.96708      0.96730     
      49  0.10369E-001 0.12140E-001-0.66181      0.66200     
      50  0.22224E-003 0.16242E-002-0.33627      0.33627     
      51  0.22224E-003 0.34692E-003 0.90618E-004 0.42185E-003
      52   0.0000       0.0000       0.0000       0.0000     
      53  0.51224E-002-0.52652E-003-0.33633      0.33637     
      54  0.10245E-001 0.98144E-002-0.66180      0.66195     
      55  0.25302E-001 0.74366E-004-0.96702      0.96735     
      56  0.40359E-001 0.20356E-001 -1.2422       1.2430     
      57  0.65465E-001 0.45431E-003 -1.4772       1.4786     
      58  0.90571E-001 0.30710E-001 -1.6619       1.6647     
      59  0.12574      0.73131E-003 -1.7864       1.7908     
      60  0.16090      0.42278E-001 -1.8393       1.8468     
      61  0.19607      0.59594E-003 -1.7864       1.7971     
      62  0.23124      0.30452E-001 -1.6619       1.6782     
      63  0.25637      0.99031E-004 -1.4772       1.4993     
      64  0.28149      0.19941E-001 -1.2422       1.2739     
      65  0.29658     -0.34914E-003-0.96706       1.0115     
      66  0.31167      0.94400E-002-0.66182      0.73159     
      67  0.31686     -0.76523E-003-0.33639      0.46213     
      68  0.32205       0.0000       0.0000      0.32205     

 MAXIMUM ABSOLUTE VALUES
 NODE         68            9           43           43
 VALUE   0.32205      0.42800E-001 -1.8488       1.8563     

